id,douban_id,name,year,rating
364,26266924,中国推销员,2017,4.2
365,26602933,绑架者,2017,4.9
366,26365631,冲天火,2016,3.6
367,26589957,守护者：世纪战元 Защитники,2017,4.0
368,25881615,超凡战队 Power Rangers,2017,4.7
369,26757373,捉迷藏,2016,5.4
370,1459054,龙门客栈 龍門客棧,1967,8.0
371,1303451,海上花,1998,8.0
372,1301136,空山灵雨 空山靈雨,1979,8.4
373,1307898,迎春阁之风波 迎春閣之風波,1973,8.2
374,3168089,X战警：第一战 X-Men: First Class,2011,8.1
375,1652587,阿凡达 Avatar,2009,8.6
376,1794171,变形金刚 Transformers,2007,8.1
377,1309069,蝙蝠侠：侠影之谜 Batman Begins,2005,8.2
378,3075287,源代码 Source Code,2011,8.3
379,5323968,环太平洋 Pacific Rim,2013,7.6
380,3793783,地心引力 Gravity,2013,7.8
381,25726614,神奇动物在哪里 Fantastic Beasts and Where to Find Them,2016,7.8
382,3541415,盗梦空间 Inception,2010,9.2
383,2300586,这个男人来自地球 The Man from Earth,2007,8.5
384,2049435,超人：钢铁之躯 Man of Steel,2013,6.8
385,1972698,守望者 Watchmen,2009,8.0
386,20326665,星球大战7：原力觉醒 Star Wars: The Force Awakens,2015,7.1
387,21324900,降临 Arrival,2016,7.7
388,1401535,虎胆龙威4 Live Free or Die Hard,2007,7.6
389,2132930,速度与激情4 Fast & Furious,2009,7.6
390,3104794,赤焰战场 Red,2010,7.5
391,2174535,天龙特攻队 The A-Team,2010,7.6
392,3279080,敢死队 The Expendables,2010,6.7
393,1440855,第一滴血4 Rambo,2008,7.2
394,3006783,机械师 The Mechanic,2011,6.9
395,1306737,极限特工 xXx,2002,7.3
396,3024838,独行侠 The Lone Ranger,2013,7.0
397,1419974,玩命快递2 Transporter 2,2005,7.2
398,1300267,乱世佳人 Gone with the Wind,1939,9.2
399,1292679,春光乍泄 春光乍洩,1997,8.8
400,1297447,倩女幽魂,1987,8.6
401,1303021,小鞋子 بچههای آسمان,1997,9.2
402,1292215,天使爱美丽 Le fabuleux destin d'Amélie Poulain,2001,8.7
403,1291858,鬼子来了,2000,9.2
404,1900841,窃听风暴 Das Leben der Anderen,2006,9.1
405,1296736,钢琴家 The Pianist,2002,9.0
406,1291824,黑鹰坠落 Black Hawk Down,2001,8.5
407,1293182,十二怒汉 12 Angry Men,1957,9.4
408,1292365,活着,1994,9.1
409,1293351,食神,1996,7.7
410,1297223,鹿鼎记 鹿鼎記,1992,7.8
411,1307739,国产凌凌漆 國產凌凌漆,1994,8.1
412,1329936,大内密探零零发 大內密探零零發,1996,7.6
413,1302090,逃学威龙 逃學威龍,1991,7.5
414,1297863,武状元苏乞儿,1992,7.4
415,1291543,功夫,2004,7.9
416,1303173,甲方乙方,1997,8.2
417,1292213,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,1995,9.2
418,1300498,百变星君 百變星君,1995,7.2
419,1298644,赌圣 賭聖,1990,7.4
420,1305355,审死官 審死官,1992,7.4
421,1305065,公主日记 The Princess Diaries,2001,7.5
422,1293088,小鬼当家 Home Alone,1990,8.1
423,1304854,律政俏佳人 Legally Blonde,2001,7.2
424,1291550,天下无贼,2004,7.6
425,1292286,我的野蛮女友 엽기적인 그녀,2001,8.1
426,19945757,偶滴神啊 OMG: Oh My God!,2012,8.4
427,25964071,夏洛特烦恼,2015,7.4
428,24879820,奇怪的她 수상한 그녀,2014,8.3
429,25662329,疯狂动物城 Zootopia,2016,9.2
430,4915857,神偷奶爸2 Despicable Me 2,2013,8.0
431,6019180,开心家族 헬로우 고스트,2010,8.5
432,4861627,和声 하모니,2010,8.5
433,4230918,结婚礼服 웨딩드레스,2010,8.4
434,5908478,我爱你 그대를 사랑합니다,2011,9.0
435,1291561,千与千寻 千と千尋の神隠し,2001,9.2
436,1293359,菊次郎的夏天 菊次郎の夏,1999,8.7
437,21937445,辩护人 변호인,2013,9.1
438,25798222,亲爱的,2014,8.3
439,25814705,小森林 夏秋篇 リトル・フォレスト 夏・秋,2014,8.9
440,1308575,蓝色大门 藍色大門,2002,8.3
441,4739952,初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก,2010,8.2
442,5960606,再见我们的幼儿园 さよならぼくたちのようちえん,2011,8.7
443,4920528,那些年，我们一起追的女孩 那些年，我們一起追的女孩,2011,8.1
444,1787291,被嫌弃的松子的一生 嫌われ松子の一生,2006,8.9
445,1959877,悬崖上的金鱼姬 崖の上のポニョ,2008,8.2
